master_site_id,dive_site_name,country_or_area,country_code,latitude,longitude,max_depth_m,source_count,sources,source_record_count,source_record_ids,source_urls,licenses_and_attribution,data_quality_notes
DS000001,Alert Rock,Alaska,US,54.1849827,-132.9762767,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):3024829333,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000002,Bligh Reef,Alaska,US,60.844151,-146.8777986,30,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):452633840,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000003,Boat Graveyard,Alaska,US,56.2535381,-134.6504016,18,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):10312458191,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000004,Chanal Reef,Alaska,US,54.1883173,-133.0304704,24,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):3024829339,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000005,Client Reefs,Alaska,US,54.1064017,-130.3189445,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):5704027532,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000006,Cohen Reef,Alaska,US,58.431229,-134.8045421,26,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):835907748,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000007,Desconocida Reef,Alaska,US,55.6928138,-133.5229612,25,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):874133656,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000008,Douglas Rock,Alaska,US,54.1716167,-132.9524,26,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):5729282196,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000009,Eagle Reef,Alaska,US,58.4598235,-134.8237682,24,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):835907749,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS000010,Escape Reefs,Alaska,US,54.4658333,-130.4747222,23,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):5707922325,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/alaska.json,ODbL-1.0 / mixed third-party factual contributions,NA
